日期,最高温,最低温,空气质量指数
2022-11-27 周日,17,14,62
2022-11-28 周一,16,5,45
2022-11-29 周二,5,-4,52
2022-11-30 周三,-2,-7,35
2022-12-01 周四,1,-7,0
2022-12-02 周五,4,-4,0
2022-12-03 周六,6,-2,0
2022-12-04 周日,3,-4,0
2022-12-05 周一,5,-5,0
2022-12-06 周二,7,-4,0
2022-12-07 周三,9,0,0
2022-12-08 周四,9,-2,0
2022-12-09 周五,10,0,0
2022-12-10 周六,6,-5,0
2022-12-11 周日,5,-3,0
